"Информация о тендере","Номер тендера","Регион","Место поставки","Заказчик","ИНН","Тип закупки","Способ размещения","Дата публикации","Дата окончания (МСК)","Начальная цена, руб","Обеспечение контракта, руб","Аванс","Ссылка на источник","Отрасли"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60517308","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","30.05.2022","17.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000099","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60517316","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","30.05.2022","17.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000100","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60517332","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","30.05.2022","17.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000097","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60517307","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","30.05.2022","17.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000101","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ по реконструкции здания АО СО ЕЭС , расположенного по адресу: г. Владивосток, ул. Западная, д. 29, в части системы электроснабжения для Филиала АО СО ЕЭС Приморское РДУ","60517159","Приморский край","г. Владивосток","АО ""СО ЕЭС""","7705454461","223-ФЗ","Нерегламентированные закупки","30.05.2022","15.06.2022 9:00","6,839,466","","100%","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211427866","Полное строительство и реконструкция зданий и сооружений"
"Приобретение жилых помещений у застройщика в муниципальную собственность в жилом доме в границах городского округа город Первомайск Нижегородской области в целях реализации Программы по переселению граждан из аварийного жилищного фонда","60515709","Нижегородская область","г. Первомайск","АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД ПЕРВОМАЙСК НИЖЕГОРОДСКОЙ ОБЛАСТИ","5224000486","44-ФЗ","Электронные аукционы","30.05.2022","08.06.2022 8:00","12,410,000","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0132300029322000060","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность благоустроенного жилого помещения для переселения граждан, проживающих в аварийном жилом фонде","60515297","Новгородская область","г. Малая Вишера","АДМИНИСТРАЦИЯ МАЛОВИШЕРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ","5307001701","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 9:00","1,383,713","69,185","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0150300001522000035","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Строительство пристройки МОУ СОШ с.Мизино-Лапшиновка (поставка с монтажом дизель генератора)","60514603","Саратовская область","Татищевский район, село Мизино-Лапшиновка","МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА С.МИЗИНО-ЛАПШИНОВКА""","6434911494","44-ФЗ","Электронные аукционы","30.05.2022","09.06.2022 10:00","816,080","5%","100%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0160300015322000034","Полное строительство и реконструкция зданий и сооружений"
"Приобретение квартир на первичном рынке у застройщика в строящемся многоквартирном жилом доме на территории городского округа город Чкаловск Нижегородской области, для предоставления жителям аварийного фонда по программе ""Переселение граждан из аварийного жилого фонда на территории Нижегородской области на 2019-2023 годы"" в рамках реализации 4-го этапа","60512565","Нижегородская область","г. Чкаловск","АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД ЧКАЛОВСК НИЖЕГОРОДСКОЙ ОБЛАСТИ","5236003643","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 8:00","16,731,000","","50%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0132300034422000053","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Строительство индивидуального жилого дома по адресу: Нижегородская область, Спасский муниципальный район, с.Бронский Ватрас, ул.Малиновка, д.42а","60512352","Нижегородская область","Спасский район, село Бронский Ватрас","АДМИНИСТРАЦИЯ СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ","5232001821","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 12:00","4,953,600","10%","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0232300000122000035","Полное строительство и реконструкция зданий и сооружений"
"Приобретение жилых помещений у застройщика в муниципальную собственность в жилом доме в границах городского округа город Первомайск Нижегородской области в целях реализации Программы по переселению граждан из аварийного жилищного фонда","60512350","Нижегородская область","г. Первомайск","АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД ПЕРВОМАЙСК НИЖЕГОРОДСКОЙ ОБЛАСТИ","5224000486","44-ФЗ","Электронные аукционы","30.05.2022","08.06.2022 8:00","13,049,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0132300029322000059","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Строительство индивидуального жилого дома общей площадью 90,0 м2 в деревне Благодать по ул. Речная, уч.6 в Добринском районе Липецкой обл","60510090","Липецкая область","Добринский район, деревня Благодать","АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ БОГОРОДИЦКИЙ СЕЛЬСОВЕТ ДОБРИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ","4804002887","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 9:00","5,120,220","5%","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0846600000922000064","Полное строительство и реконструкция зданий и сооружений"
"Строительство индивидуального жилого дома по адресу: Нижегородская область, Спасский муниципальный район, с.Бронский Ватрас, ул.Малиновка, д.69","60509377","Нижегородская область","Спасский район, село Бронский Ватрас","АДМИНИСТРАЦИЯ СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ","5232001821","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 11:00","4,983,130","10%","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0232300000122000034","Полное строительство и реконструкция зданий и сооружений"
"Приобретение в муниципальную собственность Большемурашкинского муниципального района Нижегородской области жилых помещений (квартир) у застройщика в строящемся многоквартирном доме , расположенных на территории р.п. Большое Мурашкино Нижегородской области для предоставления жителям аварийного фонда в рамках государственной региональной адресной программы ""Переселение граждан из аварийного жилищного фонда на территории Нижегородской области на 2019-2023 годы""","60509375","Нижегородская область","Большемурашкинский р-он, рп. Большое Мурашкино","АДМИНИСТРАЦИЯ БОЛЬШЕМУРАШКИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ","5204000417","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 0:00","62,247,200","","70%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0332300272922000036","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ по завершению строительства (реконструкции) на объектах незавершенного строительства: Жилой дом с инженерным обеспечением №9 второго квартала в VIII микрорайоне города Сосновоборска Красноярского края, расположенный по адресу:662500, Красноярский край, г. Сосновоборск, VIII микрорайон, жилой дом № 9.р-9574","60508828","Красноярский край","Красноярский край","ФОНД ЗАЩИТЫ ПРАВ ГРАЖДАН - УЧАСТНИКОВ ДОЛЕВОГО СТРОИТЕЛЬСТВА КРАСНОЯРСКОГО КРАЯ","2460115082","223-ФЗ","Электронные аукционы","30.05.2022","15.06.2022 4:00","282,983,253","","","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14087227","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ по строительству фельдшерско-акушерских пунктов","60508615","Алтайский край","Волчихинский район, поселок Березовский; Заринский район, село Гоношиха; Зональный район, село Комарово; Бийский район, село Малоугренево; Бурлинский район, село Новоандреевка; Ключевский район, село Северка","МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ АЛТАЙСКОГО КРАЯ","2221007858","44-ФЗ","Электронные аукционы","30.05.2022","08.06.2022 3:00","69,082,222","33,850,288","49%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0817200000322006575","Полное строительство и реконструкция зданий и сооружений"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60504197","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 5:00","13,926,087","69,630","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000921","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60502900","Красноярский край","г. Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466203803, 2466216619","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000920","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Строительство индивидуального жилого дома по адресу: Нижегородская область, Спасский муниципальный район, с.Бронский Ватрас, ул.Центральная, д.7","60500548","Нижегородская область","Спасский район, село Бронский Ватрас","АДМИНИСТРАЦИЯ СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ","5232001821","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 9:00","4,994,300","10%","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0232300000122000033","Полное строительство и реконструкция зданий и сооружений"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60497597","Красноярский край","г. Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466203803, 2466216619","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000919","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60495626","Красноярский край","г. Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466203803, 2466216619","44-ФЗ","Электронные аукционы","30.05.2022","08.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000918","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60494850","Красноярский край","г. Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466203803, 2466216619","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000917","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60494130","Красноярский край","г. Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466203803, 2466216619","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000914","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60494137","Красноярский край","г. Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466203803, 2466216619","44-ФЗ","Электронные аукционы","30.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000915","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Создание новых мест в общеобразовательных организациях (Строительство общеобразовательной школы в г.о. Кохма, по адресу: Ивановская область, г. Кохма, ул. Владимирская)","60490602","Ивановская область","г. Кохма","УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА КОХМА","3711035870","44-ФЗ","Электронные аукционы","28.05.2022","16.06.2022 7:00","510,115,252","2,550,576","50%","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0133200001722001679","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ, связанных с одновременным выполнением работ по строительству объекта капитального строительства и поставкой оборудования, необходимого для обеспечения эксплуатации объекта: Средняя общеобразовательная школа  по адресу: Московская область, г.о. Балашиха, ул. Трубецкая","60489455","Московская область","г. о. Балашиха","АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА БАЛАШИХА","5001106672, 5024139723","44-ФЗ","Конкурсы и аукционы","28.05.2022","14.06.2022 10:00","2,359,326,260","212,339,363","10%","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0148200005422000310","Полное строительство и реконструкция зданий и сооружений"
"Выполнение строительно-монтажных работ и пусконаладочных работ ""вхолостую"" и ""под нагрузкой"" по строительству объекта ""Материальный склад ОЦ ""Санаторий ""Юг"" для нужд ООО ""Газпром добыча Астрахань""","60487259","Санкт-Петербург город","г. Санкт-Петербург","ПАО Газпром","7736050003","223-ФЗ","Нерегламентированные закупки","27.05.2022","09.06.2022 10:00","56,831,599","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211423713","Полное строительство и реконструкция зданий и сооружений"
"Строительство образовательного комплекса Школа-детский сад в с. Старый Акульшет Тайшетского района Иркутской области","60489768","Иркутская область","Тайшетский район, село Старый Акульшет","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ, СТРОИТЕЛЬСТВУ, АРХИТЕКТУРЕ И ЖИЛИЩНО-КОММУНАЛЬНОМУ ХОЗЯЙСТВУ АДМИНИСТРАЦИИ ТАЙШЕТСКОГО РАЙОНА","3838000879","44-ФЗ","Электронные аукционы","27.05.2022","08.06.2022 4:00","467,175,821","46,717,582","10%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0134200000122002790","Полное строительство и реконструкция зданий и сооружений"
"на право заключения договора по строительству объекта: Жилого дома по адресу Чувашская Республика пгт. Урмары ул. Порфирьева д.7 (2 отдельно стоящие секции объединенные в уровне техподполья)","60489742","Чувашская - Чувашия республика","Чувашская Республика - Чувашия","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИПОТЕЧНАЯ КОРПОРАЦИЯ ЧУВАШСКОЙ РЕСПУБЛИКИ""","2129047055","223-ФЗ","Запросы котировок и предложений","27.05.2022","08.06.2022 9:00","63,189,420","","20%","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14084933","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ по строительству объекта: ""Здания и сооружения объектов таможенной инфраструктуры"" на территории муниципального района ""Боровский район"" Калужской области (Реестровый номер: 5К-25/22сб)","60489428","Калужская область","Боровский район","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОСОБАЯ ЭКОНОМИЧЕСКАЯ ЗОНА ПРОМЫШЛЕННО-ПРОИЗВОДСТВЕННОГО ТИПА ""КАЛУГА""","4024014024","44-ФЗ","Электронные аукционы","27.05.2022","16.06.2022 11:00","461,334,093","46,133,409","100%","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=1200700009822000001","Полное строительство и реконструкция зданий и сооружений"
", Выполнение строительных работ по объекту незавершенного строительства: Пять жилых домов четвертой очереди: № 30 (4-этажный, 64-квартирный), расположенный по адресу: 143500, Московская область, г. Истра, проспект Генерала, Белобородова"" (идентификатор объекта р-6891),Выполнение строительных работ по объекту незавершенного строительства: Пять жилых домов четвертой очереди: № 31 (4-этажный, 64-квартирный), расположенный по адресу: 143500, Московская область, г. Истра, проспект Генерала, Белобородова"" (идентификатор объекта р-9614),Выполнение строительных работ по объекту незавершенного строительства: Пять жилых домов четвертой очереди: № 32 (4-этажный, 56-квартирный), расположенный по адресу: 143500, Московская область, г. Истра, проспект Генерала, Белобородова"" (идентификатор объекта р-6021)","60486766","Московская область","г. Истра","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ В ОРГАНИЗАЦИОННО-ПРАВОВОЙ ФОРМЕ ФОНДА ""ФОНД ЗАЩИТЫ ПРАВ ГРАЖДАН - УЧАСТНИКОВ ДОЛЕВОГО СТРОИТЕЛЬСТВА МОСКОВСКОЙ ОБЛАСТИ""","5024204676","223-ФЗ","Запросы котировок и предложений","27.05.2022","08.06.2022 11:30","601,508,555","","","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14084159","Полное строительство и реконструкция зданий и сооружений"
", Выполнение строительных работ по объекту незавершенного строительства: 5-и секционный 4-х этажный 75-и квартирный жилой дом (дом №14) и объектов инженерной инф-ы со встроенными помещениями общественного назначения, расположенный по адресу: Московская область, Истринский р-н, Ивановское сельское поселение, д. Высоково (идентификатор p-39742),Выполнение строительных работ по объекту незавершенного строительства: 3-х секционный 4-х этажный 90-о квартирный жилой дом (дом №18) и объектов инженерной инфраструктуры, расположенный по адресу: Московская область, Истринский р-н, Ивановское сельское поселение, д. Высоково (идентификатор p-35034),Выполнение строительных работ по объекту незавершенного строительства: 3-х секционный 4-х этажный 97-и квартирный жилой дом (дом №22) и объектов инженерной инфраструктуры, расположенный по адресу: Московская область, Истринский р-н, Ивановское сельское поселение, д. Высоково (идентификатор объекта p-36889),Выполнение строительных работ по объекту незавершенного строительства: 3-х секционный 4-х этажный 97-и квартирный жилой дом (дом №21) и объектов инженерной инфраструктуры, расположенный по адресу: Московская область, Истринский р-н, Ивановское сельское поселение, д. Высоково"" (идентификатор объекта p-34833)","60484717","Московская область","Истринский р-он, д. Высоково","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ В ОРГАНИЗАЦИОННО-ПРАВОВОЙ ФОРМЕ ФОНДА ""ФОНД ЗАЩИТЫ ПРАВ ГРАЖДАН - УЧАСТНИКОВ ДОЛЕВОГО СТРОИТЕЛЬСТВА МОСКОВСКОЙ ОБЛАСТИ""","5024204676","223-ФЗ","Запросы котировок и предложений","27.05.2022","08.06.2022 10:00","666,091,551","","","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14083700","Полное строительство и реконструкция зданий и сооружений"
"Выполнение строительно-монтажных работ по объекту: ""Строительство отделения ""Активное долголетие"" в государственном бюджетном учреждении Республики Адыгея ""Республиканский дом-интернат для престарелых и инвалидов""","60483581","Адыгея республика","г. Майкоп","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""СТРОЙЗАКАЗЧИК""","0105072228, 0105049050","44-ФЗ","Электронные аукционы","27.05.2022","14.06.2022 11:00","1,129,706,100","","","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0176200005522000723","Полное строительство и реконструкция зданий и сооружений"
"Приобретение жилых помещений у застройщика в муниципальную собственность в жилом доме в границах городского округа город Первомайск Нижегородской области в целях реализации Программы по переселению граждан из аварийного жилищного фонда","60481341","Нижегородская область","г. Первомайск","АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД ПЕРВОМАЙСК НИЖЕГОРОДСКОЙ ОБЛАСТИ","5224000486","44-ФЗ","Электронные аукционы","27.05.2022","14.06.2022 8:00","25,262,000","12,631,000","50%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0132300029322000058","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60479330","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","27.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000911","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60479265","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","27.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000906","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ по строительству объекта: ""Строительство зданий Федерального бюджетного учреждения науки ""Федеральный научный центр медико-профилактических технологий управления рисками здоровью населения (г. Пермь)""","60479261","Пермский край","г. Пермь","ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА","7707515984","44-ФЗ","Электронные аукционы","27.05.2022","14.06.2022 8:00","43,929,523","439,295","","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0356100000322000065","Полное строительство и реконструкция зданий и сооружений"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60477064","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","27.05.2022","07.06.2022 5:00","17,750,437","88,752","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000902","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
