Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
"Оказание услуги видеонаблюдения в местах массового скопления людей с функцией распознавания лиц и идентификации скопления людей для объектов: парк в районе 17 км, адресный ориентир г. Артем, ул. Кирова, 112 и Скейтпарк и променад, (территория взрослого парка), адресный ориентир: г. Артем, ул. Площадь Ленина,15а, детский парк ""Артемка"", адресный ориентир: г. Артем, ул. Кооперативная, 6.";'223250203995025020100100790018020244';;;1008000.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА"" ГОРОДА АРТЕМА";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА"" ГОРОДА АРТЕМА";27.05.2022;06.06.2022;NA
Поставка реагентов для лабораторной диагностики;'222410103612041010100101520012059244';;;169710.54;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ РОДИЛЬНЫЙ ДОМ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ РОДИЛЬНЫЙ ДОМ""";26.05.2022;03.06.2022;NA
Поставка инвалидам технических средств реабилитации (аппаратов слуховых) в 2022 году;'221650000516765010100100040290000323';;;861032.94;RUB;NA;NA;ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ - САХАЛИНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ - САХАЛИНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;26.05.2022;03.06.2022;NA
Поставка ЗИП для нужд ОГВ РС(Я);'222143523653214350100100640030000244';;;6971.94;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""РЕСПУБЛИКАНСКИЙ ЦЕНТР ИНФОКОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";26.05.2022;06.06.2022;NA
Поставка лекарственных препаратов для лечения пищеварительной системы;'222870900476187090100101060052120244';;;990091.14;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧУКОТСКАЯ ОКРУЖНАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";26.05.2022;03.06.2022;NA
Гербициды;'221790101387279010100100510012020244';;;43400.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БИРОБИДЖАНСКАЯ  ВОСПИТАТЕЛЬНАЯ КОЛОНИЯ УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БИРОБИДЖАНСКАЯ  ВОСПИТАТЕЛЬНАЯ КОЛОНИЯ УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ""";26.05.2022;03.06.2022;NA
"Выполнение работ по устройству противопожарного защитного разрыва в границах МО ""Поселок Кысыл-Сыр""";'223141015999914100100100360010240244';;;300000.00;RUB;NA;NA;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОСЕЛОК КЫСЫЛ-СЫР"" ВИЛЮЙСКОГО УЛУСА (РАЙОНА) РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОСЕЛОК КЫСЫЛ-СЫР"" ВИЛЮЙСКОГО УЛУСА (РАЙОНА) РЕСПУБЛИКИ САХА (ЯКУТИЯ)";26.05.2022;03.06.2022;NA
Прочая закупка товаров, работ и услуг. Поставка нефтепродуктов для нужд горрайспецпрокуратур Иркутской области;'221380801489938080100100100061920244';;;411392.00;RUB;NA;NA;ПРОКУРАТУРА ИРКУТСКОЙ ОБЛАСТИ;ПРОКУРАТУРА ИРКУТСКОЙ ОБЛАСТИ;26.05.2022;03.06.2022;NA
Оказание услуг по поставке путевок и авиабилетов на санаторно-курортное лечение детей-сирот и детей, оставшихся без попечения родителей Вилюйского улуса;'223141000512414100100100470018541323';;;3091087.50;RUB;NA;NA;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ВИЛЮЙСКИЙ УЛУС (РАЙОН)"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ВИЛЮЙСКИЙ УЛУС (РАЙОН)"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";19.05.2022;06.06.2022;NA
"Содержание автомобильной дороги ""Орлик-Саяны-Хужир""";'223030940797003090100100160014211244';;;1700000.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА, ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКИНСКИЙ РАЙОН""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА, ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКИНСКИЙ РАЙОН""";26.05.2022;03.06.2022;NA
Мягкий инвентарь (носки, колготки);'222251103920225110100100430030000244';;;22735.10;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""УССУРИЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""УССУРИЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";25.05.2022;03.06.2022;NA
Поставка технических средств реабилитации (электронных ручных видеоувеличителей) для обеспечения ими в 2022 году инвалидов;'221380801106238080100100010570000323';;;772467.00;RUB;NA;NA;ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ-ИРКУТСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ-ИРКУТСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;27.05.2022;03.06.2022;NA
мягкий инвентарь (трусы, шорты);'222251103920225110100100430020000244';;;53593.50;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""УССУРИЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""УССУРИЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";25.05.2022;03.06.2022;NA
Мягкий инвентарь (подушки, одеяла);'222251103920225110100100430010000244';;;73966.80;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""УССУРИЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""УССУРИЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";25.05.2022;03.06.2022;NA
Поставка расходного материала для вирусологической лаборатории;;1;Поставка расходного материала для вирусологической лаборатории;348295.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ""";;27.05.2022;06.06.2022;NA
предоставление прав использования компьютерного программного обеспечения для расчета показателей кадастровой стоимости земель населенных пунктов и объектов капитального строительства;'222490907351849090100100020015829244';;;2000000.00;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МАГАДАНСКОЕ ОБЛАСТНОЕ УПРАВЛЕНИЕ ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ И КАДАСТРОВОЙ ОЦЕНКИ""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МАГАДАНСКОЕ ОБЛАСТНОЕ УПРАВЛЕНИЕ ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ И КАДАСТРОВОЙ ОЦЕНКИ""";26.05.2022;03.06.2022;NA
Поставка чехлов защитных для инвазивного датчика ультразвуковой визуализации, стандартных, нестерильных;'223271301840627130100102440012660244';;;20179.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РАЙОННАЯ БОЛЬНИЦА РАЙОНА ИМЕНИ ЛАЗО"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РАЙОННАЯ БОЛЬНИЦА РАЙОНА ИМЕНИ ЛАЗО"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";25.05.2022;02.06.2022;NA
Поставка продуктов питания;'223271301840627130100102480010113244';;;98697.60;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РАЙОННАЯ БОЛЬНИЦА РАЙОНА ИМЕНИ ЛАЗО"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РАЙОННАЯ БОЛЬНИЦА РАЙОНА ИМЕНИ ЛАЗО"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";25.05.2022;02.06.2022;NA
Поставка сервера в 2022 году;'222490905682649090100101470012620244';;;704048.58;RUB;NA;NA;МАГАДАНСКАЯ ОБЛАСТНАЯ ДУМА;МАГАДАНСКАЯ ОБЛАСТНАЯ ДУМА;25.05.2022;02.06.2022;NA
Поставка системы гистероскопической для ирригации/инсуффляции (00004357-ЭА);'222753613014975360100100300013250244';;;1834990.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКОЙ РОДИЛЬНЫЙ ДОМ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";26.05.2022;03.06.2022;NA
Поставка лекарственных препаратов для лечения пищеварительной системы;'222870900476187090100101060032120244';;;981221.84;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧУКОТСКАЯ ОКРУЖНАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";26.05.2022;03.06.2022;NA
Оказание услуг по приготовлению горячего питания для лиц содержащихся в ИВС и КАЗ;'221753100127775310100100050025629244';;;2999987.12;RUB;NA;NA;"МЕЖМУНИЦИПАЛЬНЫЙ ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ""ПЕТРОВСК-ЗАБАЙКАЛЬСКИЙ""";"МЕЖМУНИЦИПАЛЬНЫЙ ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ""ПЕТРОВСК-ЗАБАЙКАЛЬСКИЙ""";26.05.2022;03.06.2022;NA
Поставка лекарственных средств для проведения химиотерапии (00004447-ЭА);'222753602440875360100100150552120244';;;2076898.32;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАБАЙКАЛЬСКИЙ КРАЕВОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";27.05.2022;06.06.2022;NA
Поставка офисной техники;'221272111807327210100100310012620242';;;350000.00;RUB;NA;NA;ПРИАМУРСКОЕ МЕЖРЕГИОНАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ПРИРОДОПОЛЬЗОВАНИЯ;ПРИАМУРСКОЕ МЕЖРЕГИОНАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ПРИРОДОПОЛЬЗОВАНИЯ;26.05.2022;03.06.2022;NA
Оказание услуг  по техническому обслуживанию  медицинской техники;'222380310109738040100102770013313244';;;526923.60;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Поставка лекарственных средств для проведения химиотерапии (00004517-ЭА);'222753602440875360100100150632120244';;;906444.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАБАЙКАЛЬСКИЙ КРАЕВОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";27.05.2022;06.06.2022;NA
Поставка специального оборудования в рамках создания (обновления) материально-технической базы образовательных организаций, реализующих программы среднего профессионального образования;'222280112369628010100100240020000244';;;1258836.60;RUB;NA;NA;МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ АМУРСКОЙ ОБЛАСТИ;МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ АМУРСКОЙ ОБЛАСТИ;27.05.2022;06.06.2022;NA
"27-2022-нр5359   Поставка оборудования  для создания (обновления) материально-технической базы образовательных организаций, реализующих программы среднего профессионального образования, в рамках федерального проекта Молодые профессионалы (Повышение конкурентоспособности профессионального образования) национального проекта ""Образование"".";'222272317524627230100100590012620612';;;978747.95;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКИЙ КОЛЛЕДЖ ОТРАСЛЕВЫХ ТЕХНОЛОГИЙ И СФЕРЫ ОБСЛУЖИВАНИЯ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И РЕСУРСНО-ПРАВОВОГО ОБЕСПЕЧЕНИЯ ОБРАЗОВАНИЯ""";30.05.2022;06.06.2022;NA
Поставка лекарственных препаратов;;1;Поставка лекарственных препаратов;190658.88;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ ""ИВАНОВСКАЯ БОЛЬНИЦА""";;26.05.2022;06.06.2022;NA
Поставка медикаментов (00004512-ЭА);'222753601151175360100101890012120244';;;75000.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАЕВАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";27.05.2022;06.06.2022;NA
Поставка лекарственных препаратов для лечения пищеварительной системы;'222870900476187090100101060042120244';;;995259.60;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧУКОТСКАЯ ОКРУЖНАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";26.05.2022;03.06.2022;NA
Поставка лекарственных средств (00004418-ЭА);'222751000001875100100100600232120244';;;5917.50;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КЫРИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";27.05.2022;06.06.2022;NA
Оказание услуг по очистке и полировке акрилового ограждения ледового поля;;1;Оказание услуг по очистке и полировке акрилового ограждения ледового поля;929070.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНАЯ ШКОЛА ""ХАБАРОВСКИЙ КРАЕВОЙ ЦЕНТР РАЗВИТИЯ ХОККЕЯ ""АМУР""";;30.05.2022;06.06.2022;NA
Оказание услуг по мойке автомобилей в г. Иркутске ;;1;Оказание услуг по мойке автомобилей в г. Иркутске ;131200.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ИРКУТСКИЙ ОБЛАСТНОЙ МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""";;06.06.2022;;NA
Поставка бумаги принтера для лабораторного прибора;'222272316632227230100104240013250244';;;15856.50;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ КРАЕВАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" ИМЕНИ А. К. ПИОТРОВИЧА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ КРАЕВАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" ИМЕНИ А. К. ПИОТРОВИЧА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;06.06.2022;NA
"Выполнение работ по объекту: ""Капитальный ремонт полов, стен и оконных блоков терапевтическо-хирургического комплекса ГБУЗ ""Курумканская ЦРБ"" по адресу: Республика Бурятия, Курумканский район, с. Курумкан, ул. Харпухаевой, 30""";'222031100025003110100100560014120612';;;8811430.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КУРУМКАНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;23.05.2022;31.05.2022;NA
Поставка лекарственных средств (00004359-ЭА);'222751000001875100100100600272120244';;;2022.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КЫРИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";26.05.2022;06.06.2022;NA
Поставка однофазной системы для гемокультивирования;;1;Поставка однофазной системы для гемокультивирования;166112.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ ""АМУРСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";;27.05.2022;06.06.2022;NA
Поставка перевязочных средств;;1;Поставка перевязочных средств;538100.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ ""БЛАГОВЕЩЕНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";;25.05.2022;03.06.2022;NA
Поставка расходных медицинских изделий, материалов;'221253900811625390100100020220000244';;;6011972.20;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ОКРУЖНОЙ МЕДИЦИНСКИЙ ЦЕНТР ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ОКРУЖНОЙ МЕДИЦИНСКИЙ ЦЕНТР ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""";25.05.2022;02.06.2022;NA
"Выполнение работ по содержанию участков автомобильных дорог общего пользования регионального значения Чукотского автономного округа, входящих в маршрут ""Певек – Илирней – Билибино""";'222870000009687090100101580014211244';;;76153043.31;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";26.05.2022;03.06.2022;NA
